task;model;framework
text-classification;SamLowe/roberta-base-go_emotions-onnx;onnx/model_quantized.onnx
text-classification;Azma-AI/roberta-base-emotion-classifier;pt
text-classification;Mahendrakharra/Emotion_Classification_DistilBertBase_FT;pt
text-classification;cardiffnlp/twitter-roberta-base-emotion-latest;pt
text-classification;cardiffnlp/twitter-roberta-large-emotion-latest;pt
text-classification;vibhorag101/roberta-base-emotion-prediction-phr;pt
text-classification;meetplace1/emotiondetector;pt
text-classification;bdotloh/distilbert-base-uncased-go-emotion-empathetic-dialogues-context-v2;pt
text-classification;cardiffnlp/twitter-roberta-base-emotion-multilabel-latest;pt
text-classification;jitesh/emotion-english;pt
text-classification;wesleyacheng/twitter-emotion-classification-with-bert;pt
text-classification;wesleyacheng/twitter-emotion-multilabel-classification-with-bert;pt
text-classification;shalinialisha/bert-emotion;pt
text-classification;ZachBeesley/Tweet-Emotion;tf
text-classification;cappuch/Emotions_BERT;tf
text-classification;ayoubkirouane/BERT-Emotions-Classifier;pt
text-classification;rahulmallah/autotrain-emotion-detection-1366352626;pt
text-classification;elozano/tweet_emotion_eval;pt
text-classification;vamossyd/emtract-distilbert-base-uncased-emotion;pt
text-classification;finiteautomata/bertweet-base-sentiment-analysis;pt
text-classification;siebert/sentiment-roberta-large-english;pt
text-classification;lxyuan/distilbert-base-multilingual-cased-sentiments-student;pt
text-classification;distilbert/distilbert-base-uncased-finetuned-sst-2-english;pt
text-classification;cardiffnlp/twitter-roberta-base-sentiment-latest;pt
text-classification;SamLowe/roberta-base-go_emotions;pt
text-classification;nikesh66/Sarcasm-Detection-using-BERT;pt
